model,parameter,macro_avg_f1-score,weighted_avg_f1-score
svc,"(1.5, 'poly', 4, 0.2, 0.0)",0.39731361014171496,0.7415599769942319
svc,"(1.5, 'poly', 4, 0.2, 0.5)",0.40243154260006947,0.7444716474167727
svc,"(1.5, 'poly', 4, 0.2, -0.5)",0.4076658860595149,0.751681309487952
svc,"(1.0, 'poly', 2, 0.25, 0.5)",0.39351465615669884,0.7520093440185027
svc,"(1.0, 'poly', 2, 0.25, -0.5)",0.39351465615669884,0.7520093440185027
svc,"(1.0, 'poly', 2, 0.25, 0.0)",0.39351465615669884,0.7520093440185027
svc,"(0.5, 'sigmoid', 3, 0.35, -0.5)",0.23719862181489534,0.6561237651288766
svc,"(0.5, 'sigmoid', 3, 0.35, 0.5)",0.23719862181489534,0.6561237651288766
svc,"(0.5, 'sigmoid', 3, 0.35, 0.0)",0.23719862181489534,0.6561237651288766
svc,"(0.75, 'poly', 4, 0.15, -0.5)",0.387506555105283,0.7342375372043851
svc,"(0.75, 'poly', 4, 0.15, 0.0)",0.3968131204652894,0.7414912994994605
svc,"(0.75, 'poly', 4, 0.15, 0.5)",0.3976486854999025,0.743435407821913
svc,"(1.0, 'sigmoid', 3, 0.3, 0.0)",0.23719862181489534,0.6561237651288766
svc,"(1.0, 'sigmoid', 3, 0.3, 0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.0, 'sigmoid', 3, 0.3, -0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.25, 'poly', 4, 'scale', 0.5)",0.3881868712464883,0.7396882554185322
svc,"(1.25, 'poly', 4, 'scale', -0.5)",0.39777886557913367,0.7440236833172306
svc,"(1.25, 'poly', 4, 'scale', 0.0)",0.38902321499613607,0.7380210354016328
svc,"(0.75, 'poly', 3, 0.35, 0.5)",0.4035544146300927,0.7466413497885592
svc,"(0.75, 'poly', 3, 0.35, 0.0)",0.4001765422673138,0.7429349571611801
svc,"(0.75, 'poly', 3, 0.35, -0.5)",0.41093982816471447,0.7505218551395076
svc,"(0.5, 'sigmoid', 3, 0.15, -0.5)",0.23719862181489534,0.6561237651288766
svc,"(0.5, 'sigmoid', 3, 0.15, 0.5)",0.23719862181489534,0.6561237651288766
svc,"(0.5, 'sigmoid', 3, 0.15, 0.0)",0.23719862181489534,0.6561237651288766
svc,"(1.0, 'poly', 3, 0.35, 0.5)",0.4057686853063759,0.7480830763396502
svc,"(1.0, 'poly', 3, 0.35, 0.0)",0.4027328899980456,0.7452320702603619
svc,"(1.0, 'poly', 3, 0.35, -0.5)",0.408803496359265,0.7491105323014771
svc,"(1.0, 'poly', 1, 0.25, 0.0)",0.375834142130373,0.7500411262683762
svc,"(1.0, 'poly', 1, 0.25, 0.5)",0.375834142130373,0.7500411262683762
svc,"(1.0, 'poly', 1, 0.25, -0.5)",0.375834142130373,0.7500411262683762
svc,"(0.5, 'poly', 5, 0.35, 0.0)",0.3998762171684265,0.7422168590871577
svc,"(0.5, 'poly', 5, 0.35, 0.5)",0.381114707040876,0.7351392915203765
svc,"(0.5, 'poly', 5, 0.35, -0.5)",0.3865051943146708,0.7372529431104945
svc,"(0.75, 'poly', 3, 0.15, -0.5)",0.41355668759600617,0.7628468905904617
svc,"(0.75, 'poly', 3, 0.15, 0.0)",0.41349620659429787,0.7635754391910874
svc,"(0.75, 'poly', 3, 0.15, 0.5)",0.3989627093637207,0.7567435266452319
svc,"(0.75, 'poly', 5, 0.3, 0.5)",0.4024980946297835,0.7457994124819014
svc,"(0.75, 'poly', 5, 0.3, -0.5)",0.39840880536115697,0.7444163139667623
svc,"(0.75, 'poly', 5, 0.3, 0.0)",0.39626103913198807,0.7435590836411711
svc,"(1.25, 'sigmoid', 3, 'auto', 0.0)",0.23719862181489534,0.6561237651288766
svc,"(1.25, 'sigmoid', 3, 'auto', -0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.25, 'sigmoid', 3, 'auto', 0.5)",0.23719862181489534,0.6561237651288766
svc,"(0.75, 'poly', 1, 'scale', -0.5)",0.375834142130373,0.7500411262683762
svc,"(0.75, 'poly', 1, 'scale', 0.5)",0.375834142130373,0.7500411262683762
svc,"(0.75, 'poly', 1, 'scale', 0.0)",0.375834142130373,0.7500411262683762
svc,"(1.0, 'poly', 4, 'auto', -0.5)",0.375834142130373,0.7500411262683762
svc,"(1.0, 'poly', 4, 'auto', 0.0)",0.3787616661998795,0.7527692338432108
svc,"(1.0, 'poly', 4, 'auto', 0.5)",0.3787616661998795,0.7527692338432108
svc,"(1.25, 'poly', 5, 'auto', -0.5)",0.37978730225858387,0.7536357288456257
svc,"(1.25, 'poly', 5, 'auto', 0.0)",0.37922715845270377,0.7530776117183654
svc,"(1.25, 'poly', 4, 0.2, 0.0)",0.39731361014171496,0.7415599769942319
svc,"(1.25, 'poly', 4, 0.2, 0.5)",0.40243154260006947,0.7444716474167727
svc,"(1.25, 'poly', 4, 0.2, -0.5)",0.4076658860595149,0.751681309487952
svc,"(1.25, 'poly', 5, 'auto', 0.5)",0.37556411422451186,0.7516309920923905
svc,"(0.75, 'poly', 2, 0.2, -0.5)",0.38559519503321676,0.7462804979313737
svc,"(0.75, 'poly', 2, 0.2, 0.0)",0.38559519503321676,0.7462804979313737
svc,"(0.75, 'poly', 2, 0.2, 0.5)",0.38559519503321676,0.7462804979313737
svc,"(1.25, 'poly', 1, 0.35, -0.5)",0.38014865415186727,0.7542174426841608
svc,"(1.25, 'poly', 1, 0.35, 0.0)",0.38014865415186727,0.7542174426841608
svc,"(1.25, 'poly', 1, 0.35, 0.5)",0.38014865415186727,0.7542174426841608
svc,"(0.5, 'sigmoid', 3, 0.25, 0.5)",0.23719862181489534,0.6561237651288766
svc,"(0.75, 'poly', 2, 'scale', -0.5)",0.39334026406944367,0.7523171717981139
svc,"(0.75, 'poly', 2, 'scale', 0.5)",0.3958335155540775,0.7535032960796106
svc,"(0.75, 'poly', 2, 'scale', 0.0)",0.3931774206856087,0.7526365295466941
svc,"(0.5, 'sigmoid', 3, 0.25, 0.0)",0.23719862181489534,0.6561237651288766
svc,"(0.75, 'poly', 5, 0.15, -0.5)",0.4033679059420383,0.7468861786982713
svc,"(0.75, 'poly', 5, 0.15, 0.0)",0.39626103913198807,0.7435590836411711
svc,"(0.75, 'poly', 5, 0.15, 0.5)",0.40011734038822355,0.745695218110358
svc,"(0.5, 'sigmoid', 3, 0.25, -0.5)",0.23719862181489534,0.6561237651288766
svc,"(0.75, 'sigmoid', 3, 0.2, 0.5)",0.23719862181489534,0.6561237651288766
svc,"(0.75, 'sigmoid', 3, 0.2, -0.5)",0.23719862181489534,0.6561237651288766
svc,"(0.5, 'poly', 3, 0.3, 0.0)",0.40500014110873006,0.7502555539877256
svc,"(0.5, 'poly', 3, 0.3, -0.5)",0.40697646850026026,0.7526678034662544
svc,"(0.5, 'poly', 3, 0.3, 0.5)",0.4006953946163486,0.7501136572496648
svc,"(1.0, 'poly', 2, 'scale', -0.5)",0.39678052556989296,0.7541398817517454
svc,"(0.5, 'poly', 1, 0.2, -0.5)",0.37550077054115905,0.7470181430066192
svc,"(0.5, 'poly', 1, 0.2, 0.0)",0.37550077054115905,0.7470181430066192
svc,"(0.5, 'poly', 1, 0.2, 0.5)",0.37550077054115905,0.7470181430066192
svc,"(1.0, 'poly', 2, 'scale', 0.5)",0.3951611243276414,0.7522598781745239
svc,"(1.0, 'poly', 2, 'scale', 0.0)",0.395366481937645,0.7529609646387838
svc,"(1.25, 'rbf', 3, 0.35, 0)",0.3840010891850385,0.7562620572543463
svc,"(1.0, 'poly', 2, 0.3, -0.5)",0.3955234431682211,0.7534968269044601
svc,"(1.0, 'poly', 2, 0.3, 0.0)",0.3955234431682211,0.7534968269044601
svc,"(1.0, 'poly', 2, 0.3, 0.5)",0.3955234431682211,0.7534968269044601
svc,"(1.25, 'poly', 1, 0.15, 0.5)",0.375834142130373,0.7500411262683762
svc,"(1.25, 'linear', 3, 'scale', 0)",0.37922708901763413,0.7540807459206925
svc,"(1.25, 'poly', 1, 0.15, -0.5)",0.375834142130373,0.7500411262683762
svc,"(1.25, 'poly', 1, 0.15, 0.0)",0.375834142130373,0.7500411262683762
svc,"(0.75, 'poly', 3, 0.25, -0.5)",0.4133072818080893,0.7561882133437224
svc,"(0.75, 'poly', 3, 0.25, 0.0)",0.40326109772488283,0.7534442587863424
svc,"(0.75, 'poly', 3, 0.25, 0.5)",0.40372879224337466,0.746857651934007
svc,"(1.5, 'poly', 3, 0.35, 0.5)",0.4044851066466644,0.7469294835666556
svc,"(1.5, 'poly', 3, 0.35, 0.0)",0.39320372127387426,0.7377559304457384
svc,"(1.5, 'poly', 3, 0.35, -0.5)",0.4062490500870152,0.7467957923505999
svc,"(1.25, 'rbf', 3, 0.15, 0)",0.38413305888708993,0.7567623471622488
svc,"(1.0, 'sigmoid', 3, 'scale', 0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.0, 'sigmoid', 3, 'scale', 0.0)",0.23719862181489534,0.6561237651288766
svc,"(1.0, 'sigmoid', 3, 'scale', -0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.0, 'poly', 1, 'scale', -0.5)",0.3786458831370598,0.7529617890586091
svc,"(1.0, 'poly', 1, 'scale', 0.5)",0.3786458831370598,0.7529617890586091
svc,"(1.0, 'poly', 1, 'scale', 0.0)",0.3786458831370598,0.7529617890586091
svc,"(1.5, 'poly', 3, 0.15, -0.5)",0.40441323528025475,0.7554991499268958
svc,"(1.5, 'poly', 3, 0.15, 0.0)",0.40881583502377694,0.7579798028984744
svc,"(1.5, 'poly', 3, 0.15, 0.5)",0.41221309107563125,0.7605307617824797
svc,"(1.5, 'rbf', 3, 0.25, 0)",0.38175156161794965,0.7547938363265866
svc,"(0.75, 'rbf', 3, 0.35, 0)",0.38175156161794965,0.7547938363265866
svc,"(0.75, 'sigmoid', 3, 'auto', 0.0)",0.23719862181489534,0.6561237651288766
svc,"(0.75, 'sigmoid', 3, 'auto', -0.5)",0.23719862181489534,0.6561237651288766
svc,"(0.75, 'sigmoid', 3, 'auto', 0.5)",0.23719862181489534,0.6561237651288766
